Title,Company,High,Low,Price,Volume,Change,,% Change
AMWD,Amer Woodmark Cp,97.65,96.25,97.55,"14,917",0.70,,0.72,
AMZN,Amazon.Com Inc,"1,444","1,427","1,435","1,671,273",25,,1.76,
ANAB,Anaptysbio Inc,94.44,87.17,87.56,"127,593",-6.79,,7.20,
ANAT,Amer Natl Insurance,118.0,116.5,117.9,"1,769",1.0,,0.83,
ANCB,Anchor Bancorp,24.70,24.55,24.65,700,-0.05,,0.20,
ANCX,Access National Corp,28.80,28.58,28.67,"3,896",0.06,,0.21,
ANDA,Andina Acq Cp Ord Sh,10.32,10.06,10.30,"4,300",0.10,,0.93,
ANDAR,Andina Acq Cp Rt,1.420,1.350,1.420,"38,800",0.070,,5.19,
ANDAW,Andina Acq Cp WT,2.000,1.850,1.870,"19,100",-0.120,,6.03,
ANDE,Andersons Inc,33.10,32.65,32.80,"3,549",0.00,,0.00,
ANGI,Homeservices Inc,13.74,13.48,13.49,"75,756",-0.02,,0.15,
ANGO,Angiodynamics Inc,19.10,18.87,18.99,"23,152",0.04,,0.21,
ANIK,Anika Therapeutics,47.14,46.55,47.11,"5,025",0.48,,1.03,
ANIP,ANI Pharma Inc,60.27,59.45,59.52,"1,453",0.21,,0.35,
ANSS,Ansys Inc,160.4,157.6,158.4,"44,720",0.5,,0.29,
ANTH,Anthera Pharmaceutic,0.3500,0.3200,0.3300,"824,184",0.0060,,1.85,
ANY,Sphere 3D Corp,1.0000,0.9000,0.9300,"274,693",-0.0500,,5.10,
AOBC,American Outdoor Brands Corp,10.84,10.67,10.79,"142,644",0.07,,0.65,
AOSL,Alpha and Omega Semi,15.41,15.05,15.29,"6,659",0.01,,0.07,
APDN,Applied Dna Scns,1.550,1.410,1.490,"93,111",0.120,,8.74,
APDNW,Applied Dna Sci Wrnt,0.3640,0.2800,0.3640,"5,006",0.0990,,37.36,
APEI,American Pub. Edu.,43.10,42.25,42.80,"15,378",0.05,,0.12,
APEN,Apollo Endosurgery Inc,6.050,6.040,6.050,633,0.050,,0.83,
APLP,Archrock Partners LP,12.42,12.07,12.39,"31,891",0.28,,2.31,
APLS,Apellis Pharmaceuticals Inc,23.98,22.72,23.54,"9,047",-0.25,,1.05,
APOG,Apogee Entrpr Inc,42.45,41.91,42.15,"42,661",0.35,,0.84,
APOP,Cellect Biotechnology Ltd,6.640,6.600,6.600,"2,665",-0.050,,0.75,
APOPW,Cellect Biotechnology Ltd,1.910,1.910,1.910,"1,848",0.000,,0.00,
APPF,Appfolio Cl A,40.65,40.10,40.40,"15,888",0.40,,1.00,
APPN,Appian Corporation Class A,27.62,26.82,27.34,"58,266",0.03,,0.11,
APPS,Digital Turbine,2.050,2.000,2.030,"96,771",0.010,,0.50,
APRI,Apricus Biosc Inc,0.4116,0.3801,0.3801,"181,336",-0.0199,,4.98,
APTI,Apptio Inc,29.23,28.58,28.71,"104,492",0.06,,0.21,
APTO,Aptose Bioscns,3.150,3.050,3.050,"45,335",-0.110,,3.48,
